District,No of Warehouses,Arrivals,Total Capacity,Price,Irrigation,empty space
Rajgarh,94,372505.8300000009,468777,6801491.0,380321,96271.16999999911
Hoshangabad,348,1796928.279999998,1931362,5266188.0,186604,134433.72000000207
Raisen,249,516787.2200000006,1357721,5097454.0,507196,840933.7799999993
Sehore,234,1023693.8600000074,1105799,6773871.0,363507,82105.13999999256
Rewa,41,414089.8399999994,274388,3616609.0,164181,-139701.83999999939
Vidisha,226,1063811.9000000004,1167381,6205932.0,466309,103569.09999999963
Shajapur,81,536996.0200000006,395532,8559831.0,260311,-141464.0200000006
Mandla,20,470682.38000000064,98996,2534336.0,64914,-371686.38000000064
Seoni,115,331267.0500000003,724859,1989864.0,129393,393591.9499999997
Sagar,70,1022431.1799999961,355595,8807358.0,405957,-666836.1799999961
Satna,103,206392.42999999996,660274,3880142.0,295203,453881.57000000007
Betul,43,194406.31999999998,166212,2190579.0,212095,-28194.319999999978
Jabalpur,83,232981.58000000002,428915,3400687.0,277467,195933.41999999998
Harda,96,1046252.7999999997,577946,3484006.0,196808,-468306.7999999997
Bhopal,88,957356.5199999991,488248,5088882.0,141633,-469108.5199999991
Panna,28,48230.95999999999,111294,2431616.2,168841,63063.04000000001
Shahdol,12,34122.5,63612,1857556.0,4840,29489.5
Dindori,5,59516.32999999977,60600,3208861.0,4794,1083.670000000231
Dewas,99,1252014.7299999977,503548,8443615.0,360807,-748466.7299999977
Chhatarpur,50,895358.4399999992,228229,7020559.0,338525,-667129.4399999992
Tikamgarh,24,418650.1000000008,213562,3633233.019999999,177263,-205088.1000000008
East Nimar,23,305232.59999999974,216922,2425142.0,260236,-88310.59999999974
West Nimar,35,402660.76000000077,183573,6910575.0,309799,-219087.76000000077
Katni,58,1488489.300000001,341729,2411293.0,194417,-1146760.300000001
Mandsaur,42,341057.5100000006,255584,4038457.0,298272,-85473.51000000059
Narsimhapur,19,92714.72000000009,86590,2536870.0,293380,-6124.7200000000885
Ashoknagar,17,1259791.1199999994,113994,9211065.0,262244,-1145797.1199999994
Chhindwara,41,742840.6300000005,219340,3569949.0,227887,-523500.63000000047
Indore,36,869748.3199999987,236753,4867600.0,242502,-632995.3199999987
Ujjain,25,1170821.5399999982,161667,6148439.0,454160,-1009154.5399999982
Damoh,27,346053.0999999999,128819,2350169.0,251953,-217234.09999999992
Gwalior,35,364323.3999999998,283788,2862823.0,151083,-80535.39999999979
Morena,30,84068.24000000003,226230,4632728.0,238876,142161.75999999995
Guna,27,489821.0499999982,121399,7359263.0,315317,-368422.0499999982
Balaghat,20,48308.849999999984,115229,1892540.0,143151,66920.15000000002
Singrauli,9,10404.700000000003,88601,439865.0,39293,78196.3
Sidhi,14,24223.54999999999,72901,898205.0,66330,48677.45000000001
Umaria,14,37764.16000000002,79796,1052964.0,58732,42031.83999999998
Bhind,28,199913.1699999997,164892,6745854.0,260036,-35021.16999999969
Shivpuri,35,344540.3999999994,188906,4882081.2,389369,-155634.39999999938
Datia,19,847991.260000001,90940,3480959.0,232402,-757051.260000001
Sheopur,9,47515.10000000004,76952,1870557.0,152502,29436.899999999958
Dhar,21,803477.6900000011,120106,10318414.0,406516,-683371.6900000011
Burhanpur,3,10535.300000000005,33930,1178817.0,71401,23394.699999999997
Ratlam,7,1062719.199999996,51247,5525585.0,267026,-1011472.199999996
Neemuch,5,608124.1999999997,59738,1933268.0,151792,-548386.1999999997
Barwani,6,292787.14000000013,46308,4040488.0,171606,-246479.14000000013
Alirajpur,3,86463.81999999998,7085,2888635.0,37183,-79378.81999999998
Anuppur,2,5820.529999999999,12000,1701757.0,6200,6179.470000000001
Jhabua,9,227102.58000000063,57769,4089327.0,72593,-169333.58000000063
